20230311	08:50:10	b5f97bb7-3802-474a-8245-ec8e043bd366	GET	undefined	/employees
20230311	08:50:21	a758e1ff-b924-4903-81c7-9a032b496217	POST	undefined	/auth
20230311	08:50:40	40467dca-cdeb-4934-9bc4-bbd628628f93	POST	undefined	/employees
20230311	08:50:51	89946a95-a9ec-4a2d-98ae-ca561d92154a	POST	undefined	/auth
20230311	08:51:03	7124fa71-3831-4cd1-abe4-92f558b31c05	POST	undefined	/employees
20230311	08:51:45	2105afef-098c-4475-b044-0a83a1bc1479	GET	undefined	/employees
20230311	08:52:00	c0d08693-8f97-4376-9b08-9ca5d8048b38	POST	undefined	/auth
20230311	08:52:09	1c60ac93-f2a0-4f93-a24f-724dc4843c73	POST	undefined	/employees
20230311	08:52:12	814cd8fa-b48a-466d-9f84-e18b47dab0de	POST	undefined	/auth
20230311	08:52:22	07e05382-016c-49e9-846d-3815ea7f5a04	POST	undefined	/employees
20230311	08:52:38	bc30055b-770a-407d-824e-26113ea35948	POST	undefined	/auth
20230311	08:52:45	ee67a7b8-c80d-4b61-a8bb-0158c0e3c32e	POST	undefined	/employees
20230311	08:52:51	8aeda2e1-8de8-413d-927f-43e6397d43bf	POST	undefined	/employees
20230311	08:52:53	a3ded201-57d7-4c3d-9f99-89c7ef9cc19e	POST	undefined	/employees
20230311	08:52:57	dd9c1e17-5bd1-4d84-883d-3a3a791230a1	POST	undefined	/employees
20230311	08:53:02	ed009aa8-da10-49ec-95e9-3410ea317c6b	POST	undefined	/employees
20230311	08:53:04	80b8da62-01bd-4eee-8b1e-94ae94f16e09	POST	undefined	/employees
20230311	08:53:04	a1bf1044-e19e-420b-b3e4-3027a52281dc	POST	undefined	/employees
20230311	08:53:05	5623e63b-b025-4923-8742-3da48f61a3b4	POST	undefined	/employees
20230311	08:53:11	207bbfd9-1cf1-4923-b668-d4bd2419fd1f	POST	undefined	/employees
20230312	00:17:30	6f0d70b2-938b-4d6e-9088-76f3a4af87c7	GET	undefined	/refresh
20230312	00:18:50	3f269a1b-9bac-4b98-9992-377b754b1686	POST	undefined	/employees
20230312	00:18:55	3dd8eca9-f13a-479d-bb0e-c0436247acec	GET	undefined	/refresh
20230312	00:18:56	91caee84-b423-4e94-b517-03e23a979b23	GET	undefined	/refresh
20230312	00:19:18	547d6263-f88b-4e69-a1c8-35679f4d6678	GET	undefined	/refresh
20230312	00:20:00	05e7c8f8-5b44-4770-bbf2-6c5759f538c6	POST	undefined	/auth
20230312	00:20:16	54fdbe8f-bb99-4e9d-9b0b-ae5403114ec3	GET	undefined	/refrresh
20230312	00:20:18	178e694c-e6a1-45e6-bb27-70d4be6e8f9c	GET	undefined	/refresh
20230312	00:20:41	f0f721a9-25aa-4b12-9f03-3d7a60f93ccf	GET	undefined	/refresh
20230312	00:20:43	38b6a012-190f-4efd-a1eb-40c6c713bdbc	GET	undefined	/refresh
20230312	00:28:40	1b19dbb1-6966-4c3d-9f37-18580016fba5	GET	undefined	/logout
20230312	00:29:16	334ee933-840c-4040-b2e0-b7a7537266f8	GET	undefined	/logout
20230312	00:37:54	53e0f913-10a4-41e6-8838-1cefcd387dcc	GET	undefined	/refresh
20230314	11:22:55	39f78aff-05cb-42ae-88ce-d0c9751a68ca	GET	undefined	/auth
20230314	11:23:19	757cbe9d-c17d-4db9-b918-5bca2d778fa0	GET	undefined	/auth
20230314	11:23:24	210d794c-5fb9-4f88-80a6-c80fc11bcd23	GET	undefined	/auth
20230314	11:23:45	7cdf0e12-c070-455c-971a-9f750495e689	POST	undefined	/auth
20230314	11:23:50	a21b8a56-a55f-4e5e-8e78-b6d8eec637c1	POST	undefined	/auth
20230314	11:23:50	a7752821-bb4d-4197-8405-8efc67e298a2	POST	undefined	/auth
20230314	11:23:54	e0fd0673-00f5-4662-8740-9fc4e7e91553	POST	undefined	/auth
20230314	11:23:55	ca2926bc-a339-4f17-83be-795ca640539c	POST	undefined	/auth
20230314	11:24:24	44724969-4bcc-4b6c-9483-a3cbc5bf4614	POST	undefined	/users
20230314	11:24:32	f02bd39b-3f57-4b58-a04e-b719f46f62b8	POST	undefined	/auth
